iter	Passed	Remaining
698	1084	466
699	1086	465
700	1087	463
701	1089	462
702	1090	460
703	1092	459
704	1094	457
705	1096	456
706	1097	454
707	1099	453
708	1100	451
709	1101	449
710	1102	448
711	1104	446
712	1105	445
713	1107	443
714	1109	442
715	1111	440
716	1113	439
717	1114	437
718	1116	436
719	1118	434
720	1119	433
721	1121	431
722	1122	430
723	1124	428
724	1126	427
725	1128	425
726	1130	424
727	1131	422
728	1133	421
729	1134	419
730	1136	418
731	1138	416
732	1140	415
733	1142	414
734	1144	412
735	1145	410
736	1147	409
737	1148	407
738	1150	406
739	1152	404
740	1154	403
741	1156	402
742	1159	400
743	1161	399
744	1163	398
745	1166	397
746	1168	395
747	1171	394
748	1177	394
749	1182	394
750	1192	395
751	1199	395
752	1201	394
753	1203	392
754	1205	391
755	1207	389
756	1209	388
757	1211	386
758	1213	385
759	1216	384
760	1219	383
761	1223	382
762	1224	380
763	1226	378
764	1228	377
765	1229	375
766	1230	373
767	1232	372
768	1234	370
769	1236	369
770	1237	367
771	1239	365
772	1240	364
773	1242	362
774	1243	361
775	1245	359
776	1247	357
777	1249	356
778	1252	355
779	1254	353
780	1255	352
781	1257	350
782	1259	348
783	1260	347
784	1261	345
785	1263	343
786	1265	342
787	1266	340
788	1268	339
789	1269	337
790	1271	335
791	1272	334
792	1273	332
793	1275	330
794	1276	329
795	1277	327
796	1279	325
797	1281	324
798	1283	322
799	1285	321
800	1286	319
801	1287	317
802	1289	316
803	1290	314
804	1292	313
805	1293	311
806	1295	309
807	1297	308
808	1299	306
809	1300	305
810	1301	303
811	1303	301
812	1304	300
813	1305	298
814	1307	296
815	1308	295
816	1309	293
817	1311	291
818	1313	290
819	1315	288
820	1316	287
821	1318	285
822	1319	283
823	1321	282
824	1322	280
825	1323	278
826	1325	277
827	1327	275
828	1328	274
829	1330	272
830	1331	270
831	1333	269
832	1334	267
833	1335	265
834	1337	264
835	1338	262
836	1339	260
837	1341	259
838	1343	257
839	1345	256
840	1346	254
841	1347	252
842	1349	251
843	1350	249
844	1351	247
845	1353	246
846	1354	244
847	1356	243
848	1357	241
849	1359	239
850	1360	238
851	1362	236
852	1363	234
853	1364	233
854	1366	231
855	1367	230
856	1368	228
857	1369	226
858	1371	225
859	1373	223
860	1375	222
861	1376	220
862	1378	218
863	1379	217
864	1380	215
865	1382	213
866	1383	212
867	1384	210
868	1386	208
869	1387	207
870	1389	205
871	1391	204
872	1393	202
873	1394	201
874	1395	199
875	1397	197
876	1398	196
877	1400	194
878	1401	192
879	1402	191
880	1405	189
881	1406	188
882	1408	186
883	1409	184
884	1411	183
885	1412	181
886	1413	180
887	1414	178
888	1416	176
889	1417	175
890	1419	173
891	1421	172
892	1423	170
893	1425	168
894	1426	167
895	1427	165
896	1429	164
897	1430	162
898	1432	160
899	1433	159
900	1434	157
901	1436	156
902	1437	154
903	1439	152
904	1440	151
905	1442	149
906	1443	148
907	1444	146
908	1446	144
909	1447	143
910	1448	141
911	1450	139
912	1452	138
913	1453	136
914	1454	135
915	1456	133
916	1457	131
917	1459	130
918	1460	128
919	1461	127
920	1462	125
921	1464	123
922	1465	122
923	1467	120
924	1469	119
925	1470	117
926	1472	115
927	1473	114
928	1474	112
929	1476	111
930	1477	109
931	1478	107
932	1479	106
